date,000001.SH,T.CFE,S0147027
2023-10-31,3018.7706,101.89,476.28
2023-11-01,3023.0765,101.915,473.3
2023-11-02,3009.4058,102.095,474.64
2023-11-03,3030.7977,102.055,474.64
2023-11-06,3058.4105,102.095,474.64
2023-11-07,3057.2697,102.045,474.0
2023-11-08,3052.3726,102.15,471.28
2023-11-09,3053.2792,102.115,474.1
2023-11-10,3038.9699,102.18,474.1
2023-11-13,3046.5329,102.195,474.1
2023-11-14,3056.0703,102.085,474.1
2023-11-15,3072.8348,102.075,474.1
2023-11-16,3050.9257,102.2,471.32
2023-11-17,3054.3655,102.2,472.76
2023-11-20,3068.3191,102.195,467.36
2023-11-21,3067.9328,102.1,466.48
2023-11-22,3043.611,101.905,465.52
2023-11-23,3061.8562,101.625,464.8
2023-11-24,3040.9717,101.695,465.1
2023-11-27,3031.7002,101.585,469.28
2023-11-28,3038.5545,101.825,470.88
2023-11-29,3021.6874,101.895,474.54
2023-11-30,3029.6727,101.915,475.48
2023-12-01,3031.6358,101.97,474.84
2023-12-04,3022.9138,101.895,480.36
2023-12-05,2972.2959,102.0,473.82
2023-12-06,2968.9334,101.97,472.74
2023-12-07,2966.2061,102.06,473.6
2023-12-08,2969.5594,102.055,474.26
2023-12-11,2991.4385,102.25,470.76
2023-12-12,3003.4378,102.215,468.4
2023-12-13,2968.7606,102.475,468.2
2023-12-14,2958.9856,102.355,475.2
2023-12-15,2942.5568,102.53,474.4
2023-12-18,2930.8036,102.475,474.28
2023-12-19,2932.3908,102.53,475.16
2023-12-20,2902.1096,102.48,475.74
2023-12-21,2918.7149,102.59,475.3
2023-12-22,2914.7752,102.67,478.02
2023-12-25,2918.8126,102.855,479.0
2023-12-26,2898.8787,102.845,479.42
2023-12-27,2914.6138,102.925,481.72
2023-12-28,2954.7035,102.805,481.68
2023-12-29,2974.9348,102.845,482.32
2024-01-02,2962.2762,102.725,481.0
2024-01-03,2967.2472,102.815,480.1
2024-01-04,2954.3486,102.815,481.82
2024-01-05,2929.1833,102.95,481.82
2024-01-08,2887.5379,102.925,484.0
2024-01-09,2893.2513,103.105,486.38
2024-01-10,2877.7023,102.965,482.5
2024-01-11,2886.6502,102.99,498.3
2024-01-12,2881.9769,102.77,498.3
2024-01-15,2886.2908,102.83,470.0
2024-01-16,2893.9886,102.78,482.66
2024-01-17,2833.6152,102.935,478.72
2024-01-18,2845.7839,102.855,477.94
2024-01-19,2832.2793,102.995,479.66
2024-01-22,2756.3399,103.125,478.22
2024-01-23,2770.9763,103.02,478.5
2024-01-24,2820.7719,103.06,477.94
2024-01-25,2906.1087,103.15,476.1
2024-01-26,2910.2227,103.095,478.02
2024-01-29,2883.356,103.21,479.04
2024-01-30,2830.5266,103.45,479.9
2024-01-31,2788.5482,103.57,480.56
2024-02-01,2770.7403,103.495,481.6
2024-02-02,2730.152,103.525,483.54
2024-02-05,2702.185,103.62,479.6
2024-02-06,2789.486,103.28,478.64
2024-02-07,2829.6956,103.41,480.38
2024-02-08,2865.9032,103.25,481.0
2024-02-19,2910.544,103.415,479.2
2024-02-20,2922.7302,103.495,479.22
2024-02-21,2950.9556,103.64,479.34
2024-02-22,2988.3578,103.765,479.12
2024-02-23,3004.881,103.77,478.74
2024-02-26,2977.0221,103.88,479.64
2024-02-27,3015.4807,103.85,480.5
2024-02-28,2957.8524,104.03,479.6
2024-02-29,3015.1712,104.09,481.7
2024-03-01,3027.0204,103.64,483.94
2024-03-04,3039.3055,103.87,485.56
2024-03-05,3047.7931,103.96,493.2
2024-03-06,3039.9309,104.195,495.06
2024-03-07,3027.4013,104.125,499.0
2024-03-08,3046.0192,104.055,505.16
2024-03-11,3068.4554,103.985,503.78
2024-03-12,3055.935,103.79,503.78
2024-03-13,3043.8346,103.885,503.78
2024-03-14,3038.2339,103.715,503.78
2024-03-15,3054.6359,103.855,506.5
